filename,mean_icd,min_icd,max_icd,min_inter,max_inter,mean_inter,silhouette,davies_bouldin,cvnn,total_clusters,noise_ratio,separation_index,bot,source_bot
part_4985.txt,0.8640363878826548,0.0184819186651657,2.5487861017348457,0.3842411851480409,4.871639848168556,2.791097796923995,0.47764477,0.767310791036367,0.3999890191531516,13,0.208695652173913,3.2302974802556284,0,
part_4916.txt,0.1860942673889677,2.870939869592737e-06,1.7237888519788016,0.0978014339696903,34.464866110436915,9.215091224543356,0.79980266,0.31775634158285,0.1001596167539994,146,0.1000483325277912,49.51813849882812,0,
part_4997.txt,2.575425359829143,0.0149327221080331,5.279517793002769,0.6118150665241465,8.091939433188863,5.062860971121266,0.45115706,0.4383814161554205,0.3817220779270837,3,0.0,1.9658341042440608,0,
part_4931.txt,0.122795445822669,4.928929327354728e-06,4.914255087158034,4.514618064325189e-05,31.841624614870728,13.293654211229146,0.8782489,0.266498258988215,0.035847613532131,572,0.0683456519755452,108.25764640148115,0,
part_4923.txt,0.1274353599114756,3.413634553736771e-06,2.197028849852487,5.884815933941618e-05,30.29607308599591,13.661842387121432,0.88075745,0.2392566117339061,0.0342629113202628,702,0.0731015963001641,107.20521518828464,0,
part_4973.txt,0.0977149109695259,1.9295709200189885e-06,1.7002452183342658,0.0005985970284796,39.93305899747532,12.609901443469877,0.8338261,0.2527345561496789,0.0526909465117427,468,0.1121212121212121,129.0465525865327,0,
part_4954.txt,0.6665200223482227,0.0363747501063501,2.213983911377893,0.350863230741099,5.947946404614786,3.1893480896437616,0.61778605,0.5215568299045692,0.3066515182279775,15,0.2869198312236287,4.785067511310232,0,
part_4971.txt,2.2073859438640864,0.0229644722958859,5.030526735182522,0.6049911813180348,13.308672763101066,4.683768692570364,0.24391353,0.6970039294732028,0.2286974175592516,7,0.0330578512396694,2.121861192297944,0,
part_4953.txt,0.0903335707224472,2.3360154559928683e-06,3.512723882799348,9.26633522320128e-05,30.172984331476734,12.168617328714957,0.8493801,0.2528038100085362,0.0426830767252176,825,0.1021414482952944,134.7060956995412,0,
part_4966.txt,0.7385825722328055,0.0176445854521528,2.0236130668374988,0.2855571491883253,7.354916765637615,3.08645200231498,0.5370307,0.6684316967767251,0.3797388856358178,15,0.3007246376811594,4.17887984291927,0,
part_4951.txt,0.1774456032503571,4.672030911985737e-06,1.2558071423105857,0.0287582504190771,43.809788957244805,12.4671837446883,0.8219246,0.2560054070257895,0.062675832359038,195,0.091801202912314,70.25879062389552,0,
part_4994.txt,0.1062880801086375,3.197054465270969e-06,3.782002259854868,0.0002940616519271,30.392819233562744,11.673800455193533,0.8537058,0.2614221468863876,0.0479997272828082,610,0.0863751707983603,109.83066598433064,0,
part_4941.txt,0.0943517164765813,2.5372262780419305e-06,6.269408041630735,8.080950136860952e-05,30.654027496112505,11.536144699987892,0.8509231,0.2628651995511408,0.0500163268217538,834,0.0894438138479001,122.26616393022668,0,
part_4917.txt,0.074336918810935,3.3298677738817744e-06,1.9425153456751023,9.054902932061757e-05,32.30715326107416,13.058616639215412,0.86248213,0.2330491207675226,0.0403845665565358,625,0.0841242052888602,175.6656205620664,0,
part_4927.txt,0.1671243489758417,5.643171851750616e-05,1.8235046521574023,0.0438814644894284,39.13262782402694,11.525995597166778,0.82932365,0.2603401969342218,0.0665047779740728,147,0.1161751563896336,68.96617220427093,0,
part_4933.txt,0.1562312872431716,9.247944441321242e-06,1.2533461664477812,0.1121807514493671,41.66502154733237,12.576345907273907,0.83739895,0.2737029913583195,0.0632754512155676,131,0.1024590163934426,80.49773916257872,0,
part_5031.txt,0.5308061730121058,0.0034029665139298,1.78357135745359,0.2617090629357865,17.107541538519545,5.732610515042122,0.69111264,0.4758275766424961,0.2196461467198278,29,0.1774891774891775,10.799798507830982,0,
part_5051.txt,0.1238871845595904,1.1920928955078125e-06,1.5215732232144945,0.0004559882324295,40.14321847715339,15.803261628918232,0.8776109,0.2247308924028278,0.0372285510125643,496,0.0766794842795747,127.5606845406378,0,
part_5011.txt,0.1199810949586655,2.7906179215239586e-06,1.620095392291991,0.0036182289193736,37.02258482905992,10.927314929886558,0.822838,0.2817111633846041,0.0725300009988993,296,0.1107699056810704,91.074546861772,0,
part_5012.txt,1.0134577707195451,0.0174205179210852,3.342688580985812,0.5775340586010883,5.534833336611226,2.7151232554830416,0.42335787,0.7982722010095749,0.4369075546185343,13,0.1365461847389558,2.679066316190971,0,
part_5084.txt,0.0809091556412471,2.6656007498500226e-06,5.4225514923163125,0.0003737773769269,30.36532383313808,12.036960233679904,0.8638253,0.2697229604046827,0.0467367843542176,773,0.0978511413487991,148.76946087029384,0,
part_5005.txt,0.1237776102487056,2.611744678045112e-06,4.131568518350043,5.697617939610026e-05,31.94935328991264,13.289265887648272,0.8670301,0.2434167243155142,0.0383623165951111,755,0.0884156846530218,107.36318545624678,0,
part_5018.txt,0.1111976083308957,4.129530924722857e-07,8.934251677918867,0.0090205193005767,40.919002717309766,13.589762160036107,0.864343,0.283424233361189,0.0440513852569586,357,0.0702163061564059,122.21162084687968,0,
part_5052.txt,0.1340155102008347,1.9369216929998304e-06,4.508969820366935,6.409381434781155e-05,32.6027073668569,13.91995981939121,0.8840416,0.2575337541230533,0.0367602215064685,671,0.0751741560131669,103.8674995978556,0,
part_5028.txt,0.1507215403792679,5.606224805973054e-05,1.173416310319103,0.0490971671590673,35.905827195846314,9.67231663256968,0.82300425,0.2810973158927835,0.0778893990138814,158,0.1147186147186147,64.17299368913848,0,
part_5050.txt,0.1311835572500119,1.5859764451563442e-06,0.9459894567090006,0.0003941697295731,38.42952891431513,13.455904239938612,0.85578454,0.2324827651771843,0.0412869833506313,467,0.100118405472964,102.57231889188228,0,
part_5075.txt,2.5066853639829514,0.0260916972977531,4.816137382310591,1.956712185164156,5.920125165675517,4.282562425873119,0.4126516,0.5097621087875379,0.3402016711112232,2,0.0,1.70845562787856,0,
part_5026.txt,0.1694513266258348,3.0490616067606663e-05,1.5697535796002775,0.0389029095346353,36.75266838941076,10.3882472525561,0.7943094,0.3186163861008729,0.0871169920849357,162,0.1214199273900766,61.30483693796801,0,
part_5001.txt,2.2818074388383023,0.0143006646769641,4.451362990151963,0.6147274081430638,5.973742057340538,3.8504362516572246,0.34841833,0.5302326892503896,0.4117267788611938,3,0.0047169811320754,1.6874493871262612,0,
