text_id,filename,mean_icd,min_icd,max_icd,min_inter,max_inter,mean_inter,silhouette,davies_bouldin,sdbw,cvnn,uniqueness_ratio,total_clusters,cluster_distribution,human,bot
newlstm_by_20k,part_652.txt,12.302434020544377,3.182076034622842,21.07771805218697,5.318229320475961,11.074692405614154,7.936271155039058,0.055147946,2.7348974915933635,0.3698021139099305,0.7383424982936719,0.0728822182650725,6,"[73.0, 186.0, 110.0, 213.0, 101.0, 152.0]",0,1
newlstm_by_20k,part_653.txt,12.5891526329661,3.261618191570708,23.159055633658312,5.590988149787666,8.763349276181746,7.076788111816945,0.066054836,2.854180366718266,0.4156417061603293,0.7450827585207161,0.0720108695652173,5,"[225.0, 175.0, 136.0, 209.0, 104.0]",0,1
newlstm_by_20k,part_654.txt,13.049916250106437,2.7221960854885188,26.02231463569027,4.833748354287767,7.822952482821575,6.425913468858591,0.058511343,3.314971123420028,0.5556785891000516,0.7525542596974557,0.0744174392382861,3,"[358.0, 370.0, 150.0]",0,1
newlstm_by_20k,part_655.txt,12.398582155985554,3.798883384168207,21.818830678663403,4.920888287120567,9.638237332794665,7.374007173329538,0.051767483,2.842220091236952,0.3763652938333799,0.7437563064859589,0.0705280239670453,6,"[121.0, 100.0, 187.0, 158.0, 141.0, 139.0]",0,1
newlstm_by_20k,part_656.txt,12.119142287337898,3.9361229903574686,21.279663646921502,5.318189596139115,11.952969940228154,8.159674120280247,0.055109322,2.656537147328689,0.3393548075082053,0.7300421656918469,0.0717545638945233,7,"[37.0, 99.0, 101.0, 145.0, 164.0, 101.0, 193.0]",0,1
newlstm_by_20k,part_657.txt,12.54115220354155,3.778446871997715,22.34175348303331,4.8622285006443295,8.716084482610398,7.263794654578666,0.047565073,2.9033344106328745,0.3780987827589762,0.7466663505555471,0.0691314256773866,6,"[55.0, 113.0, 177.0, 113.0, 155.0, 195.0]",0,1
newlstm_by_20k,part_658.txt,12.550550931802904,3.539700161726264,21.81555817037212,5.152391476874131,9.141834718162803,6.999121182027255,0.047418512,2.953377091193265,0.4163327672389656,0.7466396134247244,0.0714106425702811,5,"[208.0, 258.0, 94.0, 132.0, 148.0]",0,1
newlstm_by_20k,part_659.txt,12.55906628397663,3.72766011726553,21.8480147812532,5.2467935872888845,10.558591823671597,7.565638835173518,0.06676124,2.835086320636641,0.3805562322034149,0.7399064347298714,0.0727204690033678,6,"[218.0, 121.0, 122.0, 225.0, 101.0, 69.0]",0,1
newlstm_by_20k,part_660.txt,12.586603710485722,3.725004019252561,22.49911861679113,4.949781890764028,9.05014873095922,7.014574928136513,0.049850143,2.959933809519785,0.4174518295607789,0.7486909538591571,0.0721687638786084,5,"[219.0, 163.0, 154.0, 219.0, 96.0]",0,1
newlstm_by_20k,part_661.txt,12.28697328853024,3.85619409569836,20.977263863191546,5.091156989194612,10.023471745088496,7.6821621032558385,0.052540526,2.7202974321987563,0.3435872908049646,0.7401428421839295,0.0699388035468964,7,"[152.0, 91.0, 157.0, 90.0, 96.0, 160.0, 89.0]",0,1
